REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN,Bole,2016,Groundnut,1.6,
NORTHERN,Bunkpurugu Yonyo,2016,Groundnut,1.36,
NORTHERN,Central Gonja,2016,Groundnut,1,
NORTHERN,East Gonja,2016,Groundnut,2.14,
NORTHERN,Kpandai,2016,Groundnut,2.21,
NORTHERN,East Mamprusi,2016,Groundnut,1.61,
NORTHERN,Gushiegu,2016,Groundnut,1.45,
NORTHERN,Karaga,2016,Groundnut,1.58,
NORTHERN,Nanumba North,2016,Groundnut,1.8,
NORTHERN,Nanumba South,2016,Groundnut,1.49,
NORTHERN,Saboba,2016,Groundnut,1.5,
NORTHERN,Chereponi,2016,Groundnut,1,
NORTHERN,Savelugu Nanton,2016,Groundnut,2.63,
NORTHERN,Sawla/Tuna/Kalba,2016,Groundnut,1.01,
NORTHERN,Tamale Metro,2016,Groundnut,1.66,
NORTHERN,Tolon,2016,Groundnut,1.6,
NORTHERN,Kumbungu,2016,Groundnut,1.6,
NORTHERN,West Gonja,2016,Groundnut,1.56,
NORTHERN,West Mamprusi,2016,Groundnut,1.59,
NORTHERN,Yendi,2016,Groundnut,1.41,
NORTHERN,Zabzugu,2016,Groundnut,2.02,
NORTHERN,Tatale,2016,Groundnut,2.02,
NORTHERN,Bole,2016,Cowpea,1.2,
NORTHERN,Bunkpurugu Yonyo,2016,Cowpea,1.8,
NORTHERN,Central Gonja,2016,Cowpea,1.91,
NORTHERN,East Gonja,2016,Cowpea,1.82,
NORTHERN,Kpandai,2016,Cowpea,2,
NORTHERN,East Mamprusi,2016,Cowpea,1.61,
NORTHERN,Gushiegu,2016,Cowpea,3.68,
NORTHERN,Karaga,2016,Cowpea,1.34,
NORTHERN,Nanumba North,2016,Cowpea,2,
NORTHERN,Nanumba South,2016,Cowpea,1.8,
NORTHERN,Saboba,2016,Cowpea,1.63,
NORTHERN,Chereponi,2016,Cowpea,1,
NORTHERN,Savelugu Nanton,2016,Cowpea,1.74,
NORTHERN,Sawla/Tuna/Kalba,2016,Cowpea,1.63,
NORTHERN,Tamale Metro,2016,Cowpea,1.29,
NORTHERN,Tolon,2016,Cowpea,1.99,
NORTHERN,Kumbungu,2016,Cowpea,1.99,
NORTHERN,West Gonja,2016,Cowpea,1.62,
NORTHERN,West Mamprusi,2016,Cowpea,1.3,
NORTHERN,Yendi,2016,Cowpea,2.47,
NORTHERN,Zabzugu,2016,Cowpea,1.6,
NORTHERN,Tatale,2016,Cowpea,1.6,
NORTHERN ,Central Gonja,2006,MAIZE,1.12,
NORTHERN ,West Gonja,2006,MAIZE,1.12,
NORTHERN ,Yendi,2006,MAIZE,1.5,
NORTHERN ,Nanumba North,2006,MAIZE,1.4,
NORTHERN ,Nanumba South,2006,MAIZE,1.4,
NORTHERN ,Karaga,2006,MAIZE,1.56,
NORTHERN ,Gushiegu,2006,MAIZE,1.56,
NORTHERN ,Bunkpurugu Yonyo,2006,MAIZE,1.05,
NORTHERN ,East Mamprusi,2006,MAIZE,1.05,
NORTHERN ,Savelugu Nanton,2006,MAIZE,0.98,
NORTHERN ,East Gonja,2006,MAIZE,0.97,
NORTHERN ,Tamale Metro,2006,MAIZE,1.5,
NORTHERN ,Sawla/Tuna/Kalba,2006,MAIZE,1.15,
NORTHERN ,Bole,2006,MAIZE,1.15,
NORTHERN ,Saboba,2006,MAIZE,0.86,
NORTHERN ,Tolon,2006,MAIZE,0.68,
NORTHERN ,Kumbungu,2006,MAIZE,0.68,
NORTHERN ,West Mamprusi,2006,MAIZE,1.64,
NORTHERN ,Zabzugu,2006,MAIZE,0.8,
NORTHERN ,Tatale,2006,MAIZE,0.8,
NORTHERN ,Central Gonja,2006,GROUNDNUT,0.79,
NORTHERN ,West Gonja,2006,GROUNDNUT,0.79,
NORTHERN ,Yendi,2006,GROUNDNUT,0.68,
NORTHERN ,Nanumba North,2006,GROUNDNUT,0.56,
NORTHERN ,Nanumba South,2006,GROUNDNUT,0.56,
NORTHERN ,Karaga,2006,GROUNDNUT,0.7,
NORTHERN ,Gushiegu,2006,GROUNDNUT,0.7,
NORTHERN ,Bunkpurugu Yonyo,2006,GROUNDNUT,1,
NORTHERN ,East Mamprusi,2006,GROUNDNUT,1,
NORTHERN ,Savelugu Nanton,2006,GROUNDNUT,1.37,
NORTHERN ,East Gonja,2006,GROUNDNUT,0.4,
NORTHERN ,Tamale Metro,2006,GROUNDNUT,0.7,
NORTHERN ,Sawla/Tuna/Kalba,2006,GROUNDNUT,0.7,
NORTHERN ,Bole,2006,GROUNDNUT,0.69,
NORTHERN ,Saboba,2006,GROUNDNUT,0.8,
NORTHERN ,Tolon,2006,GROUNDNUT,0.8,
NORTHERN ,Kumbungu,2006,GROUNDNUT,0.8,
NORTHERN ,West Mamprusi,2006,GROUNDNUT,1,
NORTHERN ,Zabzugu,2006,GROUNDNUT,1.2,
NORTHERN ,Tatale,2006,GROUNDNUT,1.2,
NORTHERN ,Central Gonja,2006,  COWPEA,1.08,
NORTHERN ,West Gonja,2006,  COWPEA,1.05,
NORTHERN ,Yendi,2006,  COWPEA,0.98,
NORTHERN ,Nanumba North,2006,  COWPEA,0.87,
NORTHERN ,Nanumba South,2006,  COWPEA,0.91,
NORTHERN ,Karaga,2006,  COWPEA,1.23,
NORTHERN ,Gushiegu,2006,  COWPEA,1.3,
NORTHERN ,Bunkpurugu Yonyo,2006,  COWPEA,1.26,
NORTHERN ,East Mamprusi,2006,  COWPEA,1.27,
NORTHERN ,Savelugu Nanton,2006,  COWPEA,0.62,
NORTHERN ,East Gonja,2006,  COWPEA,2.3,
NORTHERN ,Tamale Metro,2006,  COWPEA,0.96,
NORTHERN ,Sawla/Tuna/Kalba,2006,  COWPEA,0.49,
NORTHERN ,Bole,2006,  COWPEA,0.51,
NORTHERN ,Saboba,2006,  COWPEA,1.2,
NORTHERN ,Tolon,2006,  COWPEA,1.17,
NORTHERN ,Kumbungu,2006,  COWPEA,1.17,
NORTHERN ,West Mamprusi,2006,  COWPEA,1.28,
NORTHERN ,Zabzugu,2006,  COWPEA,0.65,
NORTHERN ,Tatale,2006,  COWPEA,0.65,
NORTHERN ,Bole,2007,MAIZE,1.17,
NORTHERN ,Bunkpurugu Yonyo,2007,MAIZE,1.08,
NORTHERN ,Central Gonja,2007,MAIZE,1.08,
NORTHERN ,East Gonja,2007,MAIZE,1.35,
NORTHERN ,East Mamprusi,2007,MAIZE,1.08,
NORTHERN ,Gushiegu,2007,MAIZE,1.17,
NORTHERN ,Karaga,2007,MAIZE,1.26,
NORTHERN ,Nanumba North,2007,MAIZE,1.44,
NORTHERN ,Nanumba South,2007,MAIZE,1.53,
NORTHERN ,Saboba,2007,MAIZE,0.81,
NORTHERN ,Savelugu Nanton,2007,MAIZE,1.17,
NORTHERN ,Sawla/Tuna/Kalba,2007,MAIZE,1.08,
NORTHERN ,Tamale Metro,2007,MAIZE,1.08,
NORTHERN ,Tolon,2007,MAIZE,1.26,
NORTHERN ,Kumbungu,2007,MAIZE,1.26,
NORTHERN ,West Gonja,2007,MAIZE,1.26,
NORTHERN ,West Mamprusi,2007,MAIZE,1.35,
NORTHERN ,Yendi,2007,MAIZE,1.35,
NORTHERN ,Zabzugu,2007,MAIZE,0.99,
NORTHERN ,Tatale,2007,MAIZE,0.99,
NORTHERN ,Bole,2007,GROUNDNUT,0.63,
NORTHERN ,Bunkpurugu Yonyo,2007,GROUNDNUT,0.72,
NORTHERN ,Central Gonja,2007,GROUNDNUT,0.63,
NORTHERN ,East Gonja,2007,GROUNDNUT,0.36,
NORTHERN ,East Mamprusi,2007,GROUNDNUT,0.9,
NORTHERN ,Gushiegu,2007,GROUNDNUT,0.72,
NORTHERN ,Karaga,2007,GROUNDNUT,0.9,
NORTHERN ,Nanumba North,2007,GROUNDNUT,0.63,
NORTHERN ,Nanumba South,2007,GROUNDNUT,0.63,
NORTHERN ,Saboba,2007,GROUNDNUT,0.72,
NORTHERN ,Savelugu Nanton,2007,GROUNDNUT,1.25,
NORTHERN ,Sawla/Tuna/Kalba,2007,GROUNDNUT,0.54,
NORTHERN ,Tamale Metro,2007,GROUNDNUT,0.62,
NORTHERN ,Tolon,2007,GROUNDNUT,0.75,
NORTHERN ,Kumbungu,2007,GROUNDNUT,0.75,
NORTHERN ,West Gonja,2007,GROUNDNUT,0.72,
NORTHERN ,West Mamprusi,2007,GROUNDNUT,0.9,
NORTHERN ,Yendi,2007,GROUNDNUT,0.63,
NORTHERN ,Zabzugu,2007,GROUNDNUT,1.08,
NORTHERN ,Tatale,2007,GROUNDNUT,1.08,
NORTHERN ,Bole,2007,  COWPEA,0.54,
NORTHERN ,Bunkpurugu Yonyo,2007,  COWPEA,0.9,
NORTHERN ,Central Gonja,2007,  COWPEA,0.81,
NORTHERN ,East Gonja,2007,  COWPEA,1.62,
NORTHERN ,East Mamprusi,2007,  COWPEA,0.9,
NORTHERN ,Gushiegu,2007,  COWPEA,0.9,
NORTHERN ,Karaga,2007,  COWPEA,0.99,
NORTHERN ,Nanumba North,2007,  COWPEA,0.9,
NORTHERN ,Nanumba South,2007,  COWPEA,0.81,
NORTHERN ,Saboba,2007,  COWPEA,0.72,
NORTHERN ,Savelugu Nanton,2007,  COWPEA,0.81,
NORTHERN ,Sawla/Tuna/Kalba,2007,  COWPEA,0.45,
NORTHERN ,Tamale Metro,2007,  COWPEA,0.72,
NORTHERN ,Tolon,2007,  COWPEA,0.9,
NORTHERN ,Kumbungu,2007,  COWPEA,0.9,
NORTHERN ,West Gonja,2007,  COWPEA,0.81,
NORTHERN ,West Mamprusi,2007,  COWPEA,0.9,
NORTHERN ,Yendi,2007,  COWPEA,0.81,
NORTHERN ,Zabzugu,2007,  COWPEA,0.72,
NORTHERN ,Tatale,2007,  COWPEA,0.72,
NORTHERN ,Bole,2008,MAIZE,2,
NORTHERN ,Bunkpurugu Yonyo,2008,MAIZE,2.5,
NORTHERN ,Central Gonja,2008,MAIZE,3,
NORTHERN ,East Gonja,2008,MAIZE,2,
NORTHERN ,East Mamprusi,2008,MAIZE,1.2,
NORTHERN ,Gushiegu,2008,MAIZE,1.45,
NORTHERN ,Karaga,2008,MAIZE,1.7,
NORTHERN ,Nanumba North,2008,MAIZE,1.5,
NORTHERN ,Nanumba South,2008,MAIZE,2,
NORTHERN ,Saboba,2008,MAIZE,1.2,
NORTHERN ,Savelugu Nanton,2008,MAIZE,1.4,
NORTHERN ,Sawla/Tuna/Kalba,2008,MAIZE,1.75,
NORTHERN ,Tamale Metro,2008,MAIZE,1.9,
NORTHERN ,Tolon,2008,MAIZE,1.5,
NORTHERN ,Kumbungu,2008,MAIZE,1.5,
NORTHERN ,West Gonja,2008,MAIZE,1.8,
NORTHERN ,West Mamprusi,2008,MAIZE,1.9,
NORTHERN ,Yendi,2008,MAIZE,1.04,
NORTHERN ,Zabzugu,2008,MAIZE,2,
NORTHERN ,Tatale,2008,MAIZE,2,
NORTHERN ,Bole,2008,GROUNDNUT,1.2,
NORTHERN ,Bunkpurugu Yonyo,2008,GROUNDNUT,0.72,
NORTHERN ,Central Gonja,2008,GROUNDNUT,0.7,
NORTHERN ,East Gonja,2008,GROUNDNUT,2,
NORTHERN ,East Mamprusi,2008,GROUNDNUT,1.2,
NORTHERN ,Gushiegu,2008,GROUNDNUT,1.35,
NORTHERN ,Karaga,2008,GROUNDNUT,0.5,
NORTHERN ,Nanumba North,2008,GROUNDNUT,1,
NORTHERN ,Nanumba South,2008,GROUNDNUT,1,
NORTHERN ,Saboba,2008,GROUNDNUT,1.8,
NORTHERN ,Savelugu Nanton,2008,GROUNDNUT,1.8,
NORTHERN ,Sawla/Tuna/Kalba,2008,GROUNDNUT,0.76,
NORTHERN ,Tamale Metro,2008,GROUNDNUT,1.5,
NORTHERN ,Tolon,2008,GROUNDNUT,1.5,
NORTHERN ,Kumbungu,2008,GROUNDNUT,1.5,
NORTHERN ,West Gonja,2008,GROUNDNUT,1.1,
NORTHERN ,West Mamprusi,2008,GROUNDNUT,1,
NORTHERN ,Yendi,2008,GROUNDNUT,0.99,
NORTHERN ,Zabzugu,2008,GROUNDNUT,1.6,
NORTHERN ,Tatale,2008,GROUNDNUT,1.6,
NORTHERN ,Bole,2008,  COWPEA,0.8,
NORTHERN ,Bunkpurugu Yonyo,2008,  COWPEA,1.5,
NORTHERN ,Central Gonja,2008,  COWPEA,0.8,
NORTHERN ,East Gonja,2008,  COWPEA,1.5,
NORTHERN ,East Mamprusi,2008,  COWPEA,1.2,
NORTHERN ,Gushiegu,2008,  COWPEA,0.67,
NORTHERN ,Karaga,2008,  COWPEA,0.9,
NORTHERN ,Nanumba North,2008,  COWPEA,1.2,
NORTHERN ,Nanumba South,2008,  COWPEA,1,
NORTHERN ,Saboba,2008,  COWPEA,0.9,
NORTHERN ,Savelugu Nanton,2008,  COWPEA,1.5,
NORTHERN ,Sawla/Tuna/Kalba,2008,  COWPEA,0.82,
NORTHERN ,Tamale Metro,2008,  COWPEA,1.3,
NORTHERN ,Tolon,2008,  COWPEA,1.5,
NORTHERN ,Kumbungu,2008,  COWPEA,1.5,
NORTHERN ,West Gonja,2008,  COWPEA,1.2,
NORTHERN ,West Mamprusi,2008,  COWPEA,1,
NORTHERN ,Yendi,2008,  COWPEA,1.2,
NORTHERN ,Zabzugu,2008,  COWPEA,0.8,
NORTHERN ,Tatale,2008,  COWPEA,0.8,
NORTHERN ,Bole,2009,MAIZE,1.7,
NORTHERN ,Bunkpurugu Yonyo,2009,MAIZE,1.7,
NORTHERN ,Central Gonja,2009,MAIZE,1.75,
NORTHERN ,East Gonja,2009,MAIZE,1.8,
NORTHERN ,East Mamprusi,2009,MAIZE,1.5,
NORTHERN ,Gushiegu,2009,MAIZE,1.6,
NORTHERN ,Karaga,2009,MAIZE,1.7,
NORTHERN ,Nanumba North,2009,MAIZE,1.6,
NORTHERN ,Nanumba South,2009,MAIZE,1.75,
NORTHERN ,Saboba,2009,MAIZE,1.5,
NORTHERN ,Savelugu Nanton,2009,MAIZE,1.6,
NORTHERN ,Sawla/Tuna/Kalba,2009,MAIZE,1.6,
NORTHERN ,Tamale Metro,2009,MAIZE,1.6,
NORTHERN ,Tolon,2009,MAIZE,1.7,
NORTHERN ,Kumbungu,2009,MAIZE,1.7,
NORTHERN ,West Gonja,2009,MAIZE,1.7,
NORTHERN ,West Mamprusi,2009,MAIZE,1.7,
NORTHERN ,Yendi,2009,MAIZE,1.5,
NORTHERN ,Zabzugu,2009,MAIZE,1.8,
NORTHERN ,Tatale,2009,MAIZE,1.8,
NORTHERN ,Bole,2009,GROUNDNUT,1.58,
NORTHERN ,Bunkpurugu Yonyo,2009,GROUNDNUT,1.47,
NORTHERN ,Central Gonja,2009,GROUNDNUT,1.26,
NORTHERN ,East Gonja,2009,GROUNDNUT,2.32,
NORTHERN ,East Mamprusi,2009,GROUNDNUT,1.58,
NORTHERN ,Gushiegu,2009,GROUNDNUT,1.89,
NORTHERN ,Karaga,2009,GROUNDNUT,0.63,
NORTHERN ,Nanumba North,2009,GROUNDNUT,1.26,
NORTHERN ,Nanumba South,2009,GROUNDNUT,1.26,
NORTHERN ,Saboba,2009,GROUNDNUT,1.89,
NORTHERN ,Savelugu Nanton,2009,GROUNDNUT,2.11,
NORTHERN ,Sawla/Tuna/Kalba,2009,GROUNDNUT,1.26,
NORTHERN ,Tamale Metro,2009,GROUNDNUT,1.89,
NORTHERN ,Tolon,2009,GROUNDNUT,1.89,
NORTHERN ,Kumbungu,2009,GROUNDNUT,1.89,
NORTHERN ,West Gonja,2009,GROUNDNUT,1.58,
NORTHERN ,West Mamprusi,2009,GROUNDNUT,1.26,
NORTHERN ,Yendi,2009,GROUNDNUT,1.58,
NORTHERN ,Zabzugu,2009,GROUNDNUT,1.89,
NORTHERN ,Tatale,2009,GROUNDNUT,1.89,
NORTHERN ,Bole,2009,  COWPEA,1.2,
NORTHERN ,Bunkpurugu Yonyo,2009,  COWPEA,1.8,
NORTHERN ,Central Gonja,2009,  COWPEA,1.4,
NORTHERN ,East Gonja,2009,  COWPEA,1.8,
NORTHERN ,East Mamprusi,2009,  COWPEA,1.6,
NORTHERN ,Gushiegu,2009,  COWPEA,1.5,
NORTHERN ,Karaga,2009,  COWPEA,1.5,
NORTHERN ,Nanumba North,2009,  COWPEA,1.6,
NORTHERN ,Nanumba South,2009,  COWPEA,1.39,
NORTHERN ,Saboba,2009,  COWPEA,1.38,
NORTHERN ,Savelugu Nanton,2009,  COWPEA,1.8,
NORTHERN ,Sawla/Tuna/Kalba,2009,  COWPEA,1.4,
NORTHERN ,Tamale Metro,2009,  COWPEA,1.5,
NORTHERN ,Tolon,2009,  COWPEA,1.8,
NORTHERN ,Kumbungu,2009,  COWPEA,1.8,
NORTHERN ,West Gonja,2009,  COWPEA,1.8,
NORTHERN ,West Mamprusi,2009,  COWPEA,1.4,
NORTHERN ,Yendi,2009,  COWPEA,1.6,
NORTHERN ,Zabzugu,2009,  COWPEA,1.25,
NORTHERN ,Tatale,2009,  COWPEA,1.25,
NORTHERN ,Bole,2010,MAIZE,1.8,
NORTHERN ,Bunkpurugu Yonyo,2010,MAIZE,1.91,
NORTHERN ,Central Gonja,2010,MAIZE,2,
NORTHERN ,East Gonja,2010,MAIZE,1.9,
NORTHERN ,East Mamprusi,2010,MAIZE,1.69,
NORTHERN ,Gushiegu,2010,MAIZE,1.78,
NORTHERN ,Karaga,2010,MAIZE,1.83,
NORTHERN ,Nanumba North,2010,MAIZE,1.68,
NORTHERN ,Nanumba South,2010,MAIZE,1.91,
NORTHERN ,Saboba,2010,MAIZE,1.8,
NORTHERN ,Savelugu Nanton,2010,MAIZE,2,
NORTHERN ,Sawla/Tuna/Kalba,2010,MAIZE,2.84,
NORTHERN ,Tamale Metro,2010,MAIZE,1.7,
NORTHERN ,Tolon,2010,MAIZE,1.8,
NORTHERN ,Kumbungu,2010,MAIZE,1.8,
NORTHERN ,West Gonja,2010,MAIZE,1.75,
NORTHERN ,West Mamprusi,2010,MAIZE,1.9,
NORTHERN ,Yendi,2010,MAIZE,1.8,
NORTHERN ,Zabzugu,2010,MAIZE,1.83,
NORTHERN ,Tatale,2010,MAIZE,1.83,
NORTHERN ,Bole,2010,GROUNDNUT,1.65,
NORTHERN ,Bunkpurugu Yonyo,2010,GROUNDNUT,1.53,
NORTHERN ,Central Gonja,2010,GROUNDNUT,1.36,
NORTHERN ,East Gonja,2010,GROUNDNUT,2.58,
NORTHERN ,East Mamprusi,2010,GROUNDNUT,1.75,
NORTHERN ,Gushiegu,2010,GROUNDNUT,2,
NORTHERN ,Karaga,2010,GROUNDNUT,1.21,
NORTHERN ,Nanumba North,2010,GROUNDNUT,1.7,
NORTHERN ,Nanumba South,2010,GROUNDNUT,1.5,
NORTHERN ,Saboba,2010,GROUNDNUT,1.91,
NORTHERN ,Savelugu Nanton,2010,GROUNDNUT,2.53,
NORTHERN ,Sawla/Tuna/Kalba,2010,GROUNDNUT,1.42,
NORTHERN ,Tamale Metro,2010,GROUNDNUT,1.94,
NORTHERN ,Tolon,2010,GROUNDNUT,1.96,
NORTHERN ,Kumbungu,2010,GROUNDNUT,1.96,
NORTHERN ,West Gonja,2010,GROUNDNUT,2.2,
NORTHERN ,West Mamprusi,2010,GROUNDNUT,1.63,
NORTHERN ,Yendi,2010,GROUNDNUT,1.67,
NORTHERN ,Zabzugu,2010,GROUNDNUT,2.49,
NORTHERN ,Tatale,2010,GROUNDNUT,2.49,
NORTHERN ,Bole,2010,  COWPEA,1.37,
NORTHERN ,Bunkpurugu Yonyo,2010,  COWPEA,1.95,
NORTHERN ,Central Gonja,2010,  COWPEA,2.3,
NORTHERN ,East Gonja,2010,  COWPEA,1.84,
NORTHERN ,East Mamprusi,2010,  COWPEA,1.91,
NORTHERN ,Gushiegu,2010,  COWPEA,1.63,
NORTHERN ,Karaga,2010,  COWPEA,1.58,
NORTHERN ,Nanumba North,2010,  COWPEA,1.72,
NORTHERN ,Nanumba South,2010,  COWPEA,1.53,
NORTHERN ,Saboba,2010,  COWPEA,1.47,
NORTHERN ,Savelugu Nanton,2010,  COWPEA,2.25,
NORTHERN ,Sawla/Tuna/Kalba,2010,  COWPEA,1.55,
NORTHERN ,Tamale Metro,2010,  COWPEA,1.58,
NORTHERN ,Tolon,2010,  COWPEA,1.96,
NORTHERN ,Kumbungu,2010,  COWPEA,1.96,
NORTHERN ,West Gonja,2010,  COWPEA,1.93,
NORTHERN ,West Mamprusi,2010,  COWPEA,1.49,
NORTHERN ,Yendi,2010,  COWPEA,2.53,
NORTHERN ,Zabzugu,2010,  COWPEA,1.46,
NORTHERN ,Tatale,2010,  COWPEA,1.46,
NORTHERN ,Bole,2011,MAIZE,1.44,
NORTHERN ,Bunkpurugu Yonyo,2011,MAIZE,1.2,
NORTHERN ,Central Gonja,2011,MAIZE,1.41,
NORTHERN ,East Gonja,2011,MAIZE,1.52,
NORTHERN ,East Mamprusi,2011,MAIZE,1.2,
NORTHERN ,Gushiegu,2011,MAIZE,1.32,
NORTHERN ,Karaga,2011,MAIZE,1.4,
NORTHERN ,Nanumba North,2011,MAIZE,1.5,
NORTHERN ,Nanumba South,2011,MAIZE,1.5,
NORTHERN ,Saboba,2011,MAIZE,1.4,
NORTHERN ,Savelugu Nanton,2011,MAIZE,1.22,
NORTHERN ,Sawla/Tuna/Kalba,2011,MAIZE,1.92,
NORTHERN ,Tamale Metro,2011,MAIZE,1.24,
NORTHERN ,Tolon,2011,MAIZE,1.44,
NORTHERN ,Kumbungu,2011,MAIZE,1.44,
NORTHERN ,West Gonja,2011,MAIZE,1.2,
NORTHERN ,West Mamprusi,2011,MAIZE,1.3,
NORTHERN ,Yendi,2011,MAIZE,1.31,
NORTHERN ,Zabzugu,2011,MAIZE,1.52,
NORTHERN ,Tatale,2011,MAIZE,1.52,
NORTHERN ,Bole,2011,GROUNDNUT,1.45,
NORTHERN ,Bunkpurugu Yonyo,2011,GROUNDNUT,1.23,
