CODE,DATE,LAI 1,LAI 2,LAI 3,LAI 4,PLT. CHLRO 1,PLT. CHLOR 2,PLT CHLOR 3,PLT. CHLOR 4,PLT. CHLOR 5,District,Lattitde,Longitude,Farm size,Expected yield,Phynology Data,COMMENTS
7014SAM,27/09/2027,1.23,1.01,1.38,1.48,24.75,33.6,37.85,40.85,34.6,Gushegu,9.7246,-0.39502,1,500,Tasseling/anthesis,Drought is affecting the crops
7015SAM,27/09/2028,0.737,2.29,1.62,1.53,39.7,40.15,41.4,43.75,47.65,Gushegu,9.7853,-0.39296,1.5,400,Silking,Drought is affecting the crops
7016SAM,27/09/2029,1.42,1.11,0.694,0.871,52.05,45.25,37.15,38.2,42.15,Gushegu,9.7819,-0.3951,2,500,Tasseling/anthesis,Drought is affecting the crops
7017SAM,27/09/2030,2.32,1.48,1.54,1.67,35.1,45.4,37.1,30.35,50.75,Gushegu,9.1823,-0.39434,5,700,Tasseling/anthesis,Drought is affecting the crops
7036FUU,28/09/2021,2.49,0.92,1.9,0.856,35.45,38.1,44.6,44.45,47.75,Salaga N,9.26855,-0.61097,1,400,Vegetative phase,
7035FUU,28/09/2021,1.73,1.6,1.22,1.37,46.6,49.85,30.05,33.2,46.35,Salaga N,9.2673,-0.6149,1,500,Silking,
4020FUU,28/09/2021,0.435,0.419,1.09,0.608,28.95,36.25,35.9,38.8,44.55,Salaga N,9.26789,-0.61545,1,500,Vegetative phase,
7034FUU,28/09/2021,,,,,,,,,,Salaga N,9.25341,-0.62473,1,600,Tasseling/Anthesis,Data collection has been stoped because farmer has intercropped the maize with sorghum
7033FUU,28/09/2021,0.725,0.479,1.02,0.55,18.85,32.15,30.15,37.8,23.65,Salaga N,9.21881,-0.59813,1,600,Vegetative phase,
7022FUU,28/09/2021,0.64,1.72,0.779,1.02,49.4,38.35,44.4,31.7,44.6,Salaga N,9.24841,-0.62784,2,500,Vegetative phase,
3030TIN,28/09/2021,2.71,2.56,1.4,1.95,39.1,42.35,31.75,33.15,47.1,Nanton,9.57118,-0.69651,5,800,Silking,
3014TIN,28/09/2022,0.493,0.947,1.48,0.913,37.5,40.9,36.1,29.2,35.5,Nanton,9.558792114,-0.695244669,2,400,Tasseling/Anthesis,
3028TIN,28/09/2023,3.67,1.86,2.31,1.5,47.65,39.05,32.35,53.65,51,Nanton,9.558792114,-0.695244669,2,500,Tasseling/Anthesis,
3075TAM,28/09/2024,0.97,0.833,1.57,1.25,28.15,21.8,19.6,35.15,45.9,Nanton,9.595,-0.66,1,700,Tasseling/Anthesis,
3074TAM,28/09/2025,0.994,0.958,1.74,1.36,12.8,27.45,38,30.05,39.7,Nanton,9.589308,-0.661,6,400,Tasseling/Anthesis,
3080TAM,28/09/2026,1.29,1.04,0.987,1.49,24.15,45.1,45.55,46.15,46.1,Nanton,9.5677,-0.704,2,600,Tasseling/Anthesis,
5032TUG,29/09/2021,0.624,1.34,1.22,0.906,18.95,28.45,27.25,28.6,19.5,Tamale,9.367064,-0.623289,1,400,Vegetative phase,
5036TUG,29/9/20211,1.43,1.51,1.65,1.25,39.95,44.65,46,44.25,40.85,Tamale,9.376,-0.60521,4,500,Silking,
5037TUG,29/9/20212,2.74,1.92,2.1,2.97,39.85,30.9,32.1,37.8,50.05,Tamale,9.37583,-0.6048,2,700,Grain filling,
5034TUG,29/9/20213,1.37,2.24,1.47,1.92,40.85,30.25,44.45,29.95,44.35,Tamale,9.3851,-0.59437,2,400,Physiological maturity,"The leaves for the chlorophyll sampled plant were totally dry. The chlorophyll for this week was therefore taken on an adjacent plant. (The chlorophyll for the original plant for leaves 5 and 6 were 4.2 and 2.9, resepectively)"
5033TUG,29/9/20214,0.952,1.25,1.63,0.995,44.45,46.35,61.35,45.1,43.95,Tamale,9.38583,-0.59402,2,500,Grain filling,
5011LAB,29/9/20215,1.85,2.14,1.13,1.33,56.05,53.35,35.1,40.8,43.45,Tamale,9.42975,-0.59437,3,1000,Grain filling,
5012LAB,29/9/20216,2.31,1.57,0.772,1.59,23.5,49,36.35,38.55,38.35,Tamale,9.42617,-0.5993,3,600,Grain filling,
5014LAB,29/9/20217,0.998,0.669,0.754,0.697,44.15,31.9,48.65,28.9,50.4,Tamale,9.42669,-0.59782,2,500,Silking,
5002LAB,29/9/20218,1.34,1.54,0.96,0.767,28.35,30.85,19.65,35,36.75,Tamale,9.424268483,-0.596185328,5,400,Silking,
2053KPA,29/9/20219,1,0.861,0.601,1.53,32.3,50.45,23.1,39.7,38.7,Mion,N9*24'21.54,W0*30'51.65,1,500,Grain filling,
2050KPA,29/9/20210,1.6,2.06,2.22,3.03,39.8,27.1,36.25,36,29.2,Mion,N9*24'12.15,W0*30'56.49,1,500,Silking,
2048KPA,29/9/20211,,,,,,,,,,Mion,9.39508,-0.51427,2,600,Vegetative phase,Field has been destroyed by livestock so data for this week was not taken 
5016ZOR,29/9/20212,1.34,2.04,1.81,1.78,31.1,57.95,37.55,42.45,39.4,Tamale,9.37939,-0.67121,1,500,Silking,
5017ZOR,29/9/20213,1.56,0.776,1.11,1.42,34.1,41.15,48.8,32.5,30.2,Tamale,9.37939,-0.67121,1.5,500,Silking,
5057PAG,29/9/20214,2.97,2.22,1.69,1.13,50.05,41.9,44.8,45.9,34.35,Tamale,9.37753,-0.70846,1,800,Grain filling,
7058CHE,29/9/20215,1.13,0.542,1.37,1.07,33.2,39.8,48.55,41.35,37.3,Mion,9.34499,-0.43791,5,600,Grain filling,
7059CHE,29/9/20216,1.41,0.368,0.487,0.806,27.95,15.45,30.55,20.65,27.3,Mion,9.34613,-0.43771,105,1000,Grain filling,
7061CHE,29/9/20217,1.84,2.88,2.82,3.87,42.5,38.15,36.85,45,36.45,Mion,9.35552,-0.43689,4,1500,Silking,
7062CHE,29/9/20218,0.93,0.802,0.451,1.06,30,48,33.55,38.05,53.85,Mion,9.35716,-0.4376,2,700,Silking,
7036SAN,30/09/2021,1.56,1.28,0.918,1.8,46.95,58.65,53.4,50.35,38.55,Mion,9.42049,-0.2341,2,500,Grain filling,Bacteria infection detected on the field
2002ALH,30/09/2021,1.56,1.83,2.81,1.21,39.3,57.1,53.55,39.4,38.2,Mion,9.64854,-0.25249,3,800,Grain filling,
7015ALH,30/09/2021,1.19,1.43,0.555,0.509,45.4,20.3,43.7,33.2,42.2,Mion,9.64544,-0.25215,1,500,Vegetative phase,
7016ALH,30/09/2021,0.607,1.28,0.623,0.692,44,38.8,36.9,43.45,36.35,Mion,9.64602,-0.25434,1.5,400,Vegetative phase,
7018ALH,30/09/2021,0.615,0.872,0.61,0.887,41.3,43.6,36.1,42.45,27.7,Mion,9.64675,-0.25559,2,500,Vegetative phase,
7019ZOR,29/09/2021,1.75,1.17,1.75,0.871,36.15,44.8,49.1,39.35,47,Tamale,9.38746,-0.6669,5,700,Grain filling,
1029ZIN,24/09/2021,2.13,1.71,2.44,3.2,45.5,56.2,51.85,52.4,36.3,Nanton,9.64904,-0.58895,16,1500,Physiological maturity,
7068ZIN,30/09/2021,2.45,1.4,1.9,2.2,34.15,38.3,44.6,45.85,27.85,Gushegu,9.60022,-0.5659,2,1400,Silking,High  incidence of maize streak virus on the field
7069ZIN,30/09/2021,2.57,1.42,1.98,1.28,52.4,37.25,46.85,38.65,38.7,Gushegu,9.60362,-0.57012,2,900,Silking,High  incidence of maize streak virus on the field
7070ZIN,30/09/2021,0.978,1.41,0.926,1.84,37.45,28.6,46.3,38.3,43.5,Gushegu,9.6079,-0.56814,1.5,800,Tasseling/anthesis,
7071ZIN,30/09/2021,1.84,1.17,0.89,1.08,40.85,47.3,46.8,46.5,50.3,Gushegu,9.606023,-0.56747,1,600,Tasseling/anthesis,
7072ZIN,30/09/2021,2.22,1.68,1.13,1.78,26.4,35.85,36.05,41.2,33.05,Gushegu,9.607,-0.56913,2,1000,Tasseling/anthesis,High  incidence of maize streak virus on the field
7073ZIN,30/09/2021,2.05,1.86,1.51,1.1,39.35,50.6,24.7,37.5,30.85,Gushegu,9.61572,-0.56823,1.5,800,Graining filling,
7074ZIN,30/09/2021,2.16,0.463,1.51,1.39,52.75,43.4,47.55,52.7,39.75,Gushegu,9.61832,-0.5668,1.5,900,Vegetative phase,
1055ZIN,24/09/2021,2.07,2.04,1.94,1.79,39.75,35.3,47.3,36.75,41.9,Nanton,9.61066,-0.57844,10,1300,Silking,
7010SAM,04/10/2021,1.21,0.681,1.34,1.26,28.05,33.25,37.55,32.55,35.9,Gushegu,9.7953,-0.3978,5,600,Grain filling,Drought is affecting the crops
7020YAM,04/10/2021,0.91,1.58,1.14,0.885,45,40.1,31.45,33.8,48.45,Gushegu,9.72289,-0.51229,105,1000,Physiological maturty,Drought is affecting the crops
7021YAM,04/10/2021,2.21,2.13,1.76,2.83,45.4,48.9,47.25,50.6,50.55,Gushegu,9.70065,-0.54129,4,1500,Grain filling,Drought is affecting the crops
1061ZIN,04/10/2021,1.23,0.7,0.641,1.64,36.45,40.9,25.9,22.5,51.15,Gushegu,9.62704,-0.55416,2,700,Silking,Drought is affecting the crops
1067ZIN,04/10/2021,1.54,1.49,1.48,0.922,24.25,26,26.75,19.35,36.8,Gushegu,9.62606,-0.55322,2,500,Silking,Drought is affecting the crops
1056ZIN,04/10/2021,1,1.21,1.33,1.34,41.85,27.9,39.45,39.4,21.65,Gushegu,9.60499,-0.56821,3,800,Physiological maturty,Drought is affecting the crops
7014SAM,04/10/2021,1.18,1.02,1.34,1.42,25.2,32.35,28.9,37.95,30.7,Gushegu,9.79256,-0.39505,1,500,Silking,Drought is affecting the crops
7015SAM,04/10/2021,1.86,2.03,1.17,1.32,131.15,25.6,34.85,40.35,42.55,Gushegu,9.78585,-0.39316,1.5,400,Grain filling,Drought is affecting the crops
7016SAM,04/10/2021,1.19,1.29,0.832,0.957,47.55,37.85,34,32.8,39.2,Gushegu,9.78442,-0.39488,2,500,Silking,Drought is affecting the crops
7017SAM,04/10/2021,1.76,1.21,1.12,0.917,33.05,35.95,30.9,34.4,45.65,Gushegu,9.81155,-0.3948,5,700,Silking,Drought is affecting the crops
7036FUU,05/10/2021,1.29,0.722,2.62,0.25,31.65,38.95,37.75,39.45,40,Salaga N,9.26862,-0.61104,1,400,Tasseling/Anthesis,
7035FUU,05/10/2021,1.35,1.55,1.15,1.03,31.45,45.05,30.3,37.85,42.05,Salaga N,9.26734,-0.61419,1,500,cobbing,
4020FUU,05/10/2021,0.559,0.494,1.66,0.51,28.1,26.45,40.6,28.45,38.05,Salaga N,9.26797,-0.61544,1,500,Tasseling/Anthesis,
7034FUU,05/10/2021,,,,,,,,,,Salaga N,,,1,600,Tasseling/Anthesis,Data collection has been stopped because farmer has intercropped the maize with sorghum
7033FUU,05/10/2021,1.22,1.33,1.01,0.329,34.45,33.4,28.95,37.35,16.85,Salaga N,9.21888,-0.59834,1,600,Tasseling/Anthesis,
7022FUU,05/10/2021,0.674,1.57,0.895,1.21,46.55,44.6,33.7,43.75,26.7,Salaga N,9.26453,-0.61591,2,500,Tasseling/Anthesis,
3030TIN,05/10/2021,2.2,1.64,2.44,1.43,44,45.3,28.2,36.25,39.3,Nanton,9.57115,-0.69643,5,800,Physiological maturity,
3014TIN,05/10/2021,1,1.56,0.796,1.61,27.9,29.8,37.05,38.05,28.55,Nanton,9.57074,-0.69806,2,400,cobbing,
3028TIN,05/10/2021,4.3,2.85,3.11,1.79,48.35,36.65,40,37.3,51.55,Nanton,9.56887,-0.69897,2,500,cobbing,
3075TAM,05/10/2021,1.19,1.9,2.05,1.48,15.95,38.6,35.9,27.65,54.25,Nanton,9.59514,-0.6634,1,700,Physiological maturity,
3074TAM,05/10/2021,1.63,0.561,1,1.03,29.1,16.5,26.7,28.95,44.5,Nanton,9.58927,-0.6617,6,400,cobbing,
3080TAM,05/10/2021,0.773,0.752,0.543,0.904,17.65,31.75,39.35,41.3,40.85,Nanton,9.58207,-0.67153,2,600,Physiological maturity,
5032TUG,06/10/2021,0.686,1.58,1.61,1.44,17.9,23.25,21.4,25.85,22.85,Tamale,9.36713,-0.62363,1,400,Tasseling/anthesis,
5036TUG,06/10/2021,1.49,1.19,1.36,1.04,42.9,54.35,41.55,38.55,40.9,Tamale,9.36714,-0.62363,4,500,Grain filling,
5037TUG,06/10/2021,1.26,1.32,1.37,1.54,37.65,30.8,45.3,41.65,39.1,Tamale,9.37572,-0.60469,2,700,Grain filling,
5034TUG,06/10/2021,1.23,1.71,0.878,1.14,33.6,21.4,36.3,23.6,34.8,Tamale,9.38492,-0.59441,2,400,Physiological maturity,"The leaves for the chlorophyll sampled plant were totally dry. The chlorophyll for this week was therefore taken on an adjacent plant. (The chlorophyll for the original plant for leaves 5 and 6 were 4.2 and 2.9, resepectively)"
5033TUG,06/10/2021,1.09,1.17,1.13,0.889,20.6,33.1,43.05,35.45,40,Tamale,9.38566,-0.59371,2,500,Grain filling,
5011LAB,06/10/2021,1.99,2.05,0.693,0.976,40.75,49.6,36.75,36.15,45,Tamale,9.43031,-0.59513,3,1000,Grain filling,
5012LAB,06/10/2021,5.24,0.839,0.9,0.731,25.15,42.35,41.15,41.6,29.05,Tamale,9.42625,-0.59964,3,600,Grain filling,
5014LAB,06/10/2021,1.22,1,0.975,0.339,47.6,24.35,37.75,29.95,47.4,Tamale,9.42672,-0.59772,2,500,Grain filling,
5002LAB,06/10/2021,0.986,0.985,1.03,0.529,26.25,30.3,19.1,32.15,25.1,Tamale,9.42403,-0.59613,5,400,Grain filling,
2053KPA,06/10/2021,0.935,0.901,0.666,1.41,34.5,43.2,24.9,30.05,34.7,Mion,9.40619,-0.51421,1,500,Grain filling,
2050KPA,06/10/2021,3.32,1.55,1.49,2.71,36.45,26.8,36,33.7,34.6,Mion,9.40378,-0.51562,1,500,Grain filling,
2048KPA,06/10/2021,,,,,,,,,,Mion,,,2,600,Tasseling/anthesis,Field has been destroyed by livestock so data for this week was not taken 
5016ZOR,06/10/2021,1.92,1.16,1.55,1.8,29.6,36.95,44.3,30.15,44.35,Tamale,9.37954,-0.67105,1,500,Grain filling,
5017ZOR,06/10/2021,1.54,1.07,1.58,1.16,29.6,36.95,44.3,30.15,44.35,Tamale,9.37925,-0.67317,1.5,500,Grain filling,
5057PAG,06/10/2021,2.17,1.44,1.22,1.77,44.9,43.65,48.65,30.95,41.7,Tamale,9.37758,-0.70848,1,800,Grain filling,
7058CHE,07/10/2021,1.35,0.722,1.11,1.25,25.6,31.7,41.05,34.6,30.4,Mion,9.3452,-0.4773,5,600,Grain filling,
7059CHE,07/10/2021,0.828,0.447,0.311,0.551,24.45,15,20.55,20.6,34.05,Mion,9.34617,-0.43769,105,1000,Grain filling,
7061CHE,07/10/2021,1.52,2.45,2.33,2.02,48.6,24.4,32.65,32.4,26.85,Mion,9.3555,-0.43689,4,1500,Silking,
7062CHE,07/10/2021,0.911,0.726,0.698,1.03,33.7,45.55,37.4,42.9,51.7,Mion,9.3572,-0.43756,2,700,Silking,
7036SAN,07/10/2021,1.12,0.984,0.605,1.46,47.05,54.45,44,52.35,42.6,Mion,9.42024,-0.23413,2,500,Grain filling,Bacteria effection detected on the field
2002ALH,07/10/2021,1.49,1.27,2.66,1.59,48.25,53.5,49.45,42.15,44,Mion,9.64778,-0.25213,3,800,Grain filling,
7015ALH,07/10/2021,1.67,1.01,0.592,1.58,40.65,34.45,42.6,36.4,48.65,Mion,9.64564,-0.25194,1,500,Vegetative phase,
7016ALH,07/10/2021,0.449,0.9,0.681,0.667,48.25,37.8,47.45,40.4,41.15,Mion,9.64613,-0.25423,1.5,400,Vegetative phase,
7018ALH,07/10/2021,0.244,1.4,0.564,0.486,33.5,27.15,38.45,36.05,37.35,Mion,9.64703,-0.25554,2,500,Vegetative phase,
7019ZOR,07/10/2021,1.43,0.961,1.88,1.19,27.5,33.05,38.85,29.8,37.35,Tamale,,,5,700,Grain filling,
1029ZIN,08/10/2021,1.91,1.35,1.85,2.03,15.75,45.15,47.25,48,17.55,Nanton,9.61647,-0.58331,16,1500,Physiological maturity,
7068ZIN,08/10/2021,1.87,2.18,1.4,1.24,32.45,41.6,31.95,27.1,18.7,Gushegu,9.60037,-0.5661,2,1400,Grain filling,High  incidence of maize streak virus on the field
7069ZIN,08/10/2021,2.08,2.02,2.25,2.93,52.95,37.2,47.35,33.05,31.1,Gushegu,9.60346,-0.56982,2,900,Grain filling,High  incidence of maize streak virus on the field
7070ZIN,08/10/2021,0.787,0.804,1.01,0.96,37.4,39.7,41.7,39.3,43.4,Gushegu,9.60789,-0.56818,1.5,800,Silking,
7071ZIN,08/10/2021,1.72,1.38,0.81,1.31,46.15,47.15,40.05,54.95,55.05,Gushegu,9.60638,-0.5674,1,600,Silking,
7072ZIN,08/10/2021,1.87,1.41,0.743,1.3,34.05,33.45,21.65,29.55,41.2,Gushegu,9.60706,-0.56898,2,1000,Silking,High  incidence of maize streak virus on the field
7073ZIN,08/10/2021,1.21,1.34,1.25,0.715,33.65,40.1,28.3,37.45,36.95,Gushegu,9.61538,-0.56813,1.5,800,Grain filling,
7074ZIN,08/10/2021,1.61,1.29,0.286,1.22,47.25,33.5,39.65,43.35,38.85,Gushegu,9.61817,-0.56694,1.5,900,Tasseling/Anthesis,
1055ZIN,08/10/2021,1.03,1.5,1.99,1.41,36.2,23.55,31.75,36.5,26.85,Nanton,9.614985,-0.57245,10,1300,Grain filling,
7010SAM,11/10/2021,1.46,0.839,2.49,1.38,38.35,34.25,40,27.45,32,Gushegu,9.7953,-0.3978,5,600,Grain filling,
7020YAM,11/10/2021,0.671,2.08,1.87,1.43,34.6,45.45,33.8,22.7,37.9,Gushegu,9.72289,-0.51229,105,1000,Physiological maturty,
7021YAM,11/10/2021,1.24,2,1.34,2.13,37.05,50.4,41.55,44.6,41.7,Gushegu,9.70065,-0.54129,4,1500,Grain filling,
1061ZIN,11/10/2021,0.886,0.774,1.02,1.95,41.35,33.15,29.65,13.15,52.7,Gushegu,9.62704,-0.55416,2,700,Grain filling,
1067ZIN,11/10/2021,1.3,1.07,1.13,0.878,19.9,32.4,27.55,27.15,17.45,Gushegu,9.62606,-0.55322,2,500,Grain filling,
1056ZIN,11/10/2021,0.508,0.889,1.25,0.827,17.7,13.8,36.05,29.05,12.05,Gushegu,9.60499,-0.56821,3,800,Physiological maturty,
7014SAM,11/10/2021,0.642,0.991,1.72,1.7,25.2,29.8,37.95,33.9,25.5,Gushegu,9.79256,-0.39505,1,500,Grain filling,
7015SAM,11/10/2021,1.36,1.95,1.92,0.859,28.95,42.3,24.75,33.55,40.95,Gushegu,9.78585,-0.39316,1.5,400,Grain filling,
7016SAM,11/10/2021,1.41,1.09,0.678,0.78,44.85,29.7,30.6,21.45,34.25,Gushegu,9.78442,-0.39488,2,500,Grain filling,Two plants in quadrant 2 were logded so data were taken from adjecent plants
7017SAM,11/10/2021,1.49,1.82,0.963,0.624,26.05,25.15,27.25,29.15,35.3,Gushegu,9.81155,-0.3948,5,700,Grain filling,
7036FUU,12/10/2021,2.42,0.944,1.27,0.914,15.2,16.75,21.6,19.6,37.85,Salaga N,9.26862,-0.61104,1,400,Tasseling/Anthesis,
7035FUU,12/10/2021,0.954,1.35,0.692,0.955,39,37.4,28.45,28.9,27.4,Salaga N,9.26734,-0.61419,1,500,Grain filling,
4020FUU,12/10/2021,0.583,0.35,1,0.572,25.7,30.85,37.7,26,36.95,Salaga N,9.26797,-0.61544,1,500,Tasseling/Anthesis,
7034FUU,12/10/2021,,,,,,,,,,Salaga N,,,1,600,Silking,Data collection has been stopped because farmer has intercropped the maize with sorghum
7033FUU,12/10/2021,0.831,0.197,2.34,0.199,34,24.7,19.5,34.6,12.7,Salaga N,9.21888,-0.59834,1,600,Tasseling/Anthesis,Farmer has abandoned the field and now the field is very weedy 
7022FUU,12/10/2021,0.646,1.2,0.587,0.912,45.2,35.65,49,23.8,37.9,Salaga N,9.26453,-0.61591,2,500,Tasseling/Anthesis,
3030TIN,12/10/2021,2.38,1.82,2.22,2.63,17.35,29.2,30.75,22.9,9.6,Nanton,9.57115,-0.69643,5,800,Physiological maturity,Second leaf in 5th quadrant is dried up
3014TIN,12/10/2021,2.41,2.83,2.2,2.2,17.8,27.7,35.25,27.7,48.2,Nanton,9.57074,-0.69806,2,400,Grain filling,
3028TIN,12/10/2021,0.598,0.53,0.955,0.933,17.8,27.7,35.25,27.7,48.2,Nanton,9.56887,-0.69897,2,500,Grain filling,
3075TAM,12/10/2021,0.56,0.998,1.05,2.11,12,31.75,24.65,20.45,23.25,Nanton,9.59514,-0.6634,1,700,Physiological maturity,
3074TAM,12/10/2021,1.56,0.636,2.07,1.18,17.35,15.15,24.55,39.75,48,Nanton,9.58927,-0.6617,6,400,Grain filling,
3080TAM,12/10/2021,0.75,1.15,0.942,0.54,23.5,32.55,41.9,21.7,37.7,Nanton,9.58207,-0.67153,2,600,Physiological maturity,
5032TUG,13/10/2021,0.603,1.48,2.06,1.18,19.55,25.8,17.95,17,9.5,Tamale,9.36713,-0.62363,1,400,Tasseling/Anthesis,
5036TUG,13/10/2021,2,1.58,1.64,1.49,27.1,43.05,36.55,38.85,34.6,Tamale,9.36714,-0.62363,4,500,Grain filling,
5037TUG,13/10/2021,1.59,2.23,3.68,1.88,36.4,28.05,40.1,30.3,32,Tamale,9.37572,-0.60469,2,700,Grain filling,
5034TUG,13/10/2021,0.918,1.42,0.862,0.841,31.1,14.9,18.35,13.95,20.65,Tamale,9.38492,-0.59441,2,400,Physiological maturity,
5033TUG,13/10/2021,1.12,1.28,1,0.808,32,33.8,43.45,23.2,36.35,Tamale,9.38566,-0.59371,2,500,Grain filling,
5011LAB,13/10/2021,2.11,1.85,1.57,1.35,27.65,47.65,28.4,30,41.5,Tamale,9.43031,-0.59513,3,1000,Grain filling,
5012LAB,13/10/2021,2.23,1.11,1.45,0.708,20.05,26.65,25.9,40.95,38.25,Tamale,9.42625,-0.59964,3,600,Grain filling,
5014LAB,13/10/2021,0.797,0.474,0.875,0.449,39,28.3,20.45,28.1,35.5,Tamale,9.42672,-0.59772,2,500,Grain filling,
5002LAB,13/10/2021,1.01,1.48,1.48,0.75,26.75,30.4,15.95,28.15,31.6,Tamale,9.42403,-0.59613,5,400,Grain filling,
2053KPA,13/10/2021,0.647,0.566,0.503,1.71,21.4,45.5,28.55,39.9,36.7,Mion,9.40619,-0.51421,1,500,Grain filling,
2050KPA,13/10/2021,1.54,1.53,2.21,2.74,31.65,26,34.65,30.8,36.1,Mion,9.40378,-0.51562,1,500,Grain filling,
2048KPA,13/10/2021,,,,,,,,,,Mion,,,2,600,Tasseling/Anthesis,Field has been destroyed by livestock so data for this week was not taken 
5016ZOR,13/10/2021,2.13,0.96,1.13,1.79,32.6,52.1,36.65,43.05,33.7,Tamale,9.37954,-0.67105,1,500,Grain filling,
5017ZOR,13/10/2021,1.32,0.7,1.02,1.12,22.25,30.25,43.45,16.75,30.05,Tamale,9.37925,-0.67317,1.5,500,Grain filling,
5057PAG,13/10/2021,2.16,1.39,1.26,1.38,45.75,33.7,38.55,27.3,34.35,Tamale,9.37758,-0.70848,1,800,Grain filling,
7058CHE,14/10/2021,1.55,0.518,0.978,1.07,34.3,16.9,43.85,31.9,36.4,Mion,9.3452,-0.4773,5,600,Grain filling,
7059CHE,14/10/2021,1.5,0.734,0.991,0.555,23.95,13.5,26.7,15.45,35.55,Mion,9.34617,-0.43769,105,1000,Grain filling,
7061CHE,14/10/2021,1.34,1.89,2.8,2.87,37.7,11.45,32.35,35.4,34.05,Mion,9.3555,-0.43689,4,1500,Grain filling,
7062CHE,14/10/2021,1.17,0.534,0.797,0.947,28.3,34.3,26.9,29.8,38.95,Mion,9.3572,-0.43756,2,700,Grain filling,
7036SAN,14/10/2021,1.16,1.36,1.01,1.4,13.25,39.1,32.6,49.7,31.5,Mion,9.42024,-0.23413,2,500,Grain filling,
2002ALH,14/10/2021,1.63,1.21,2.16,1.45,41.3,49.25,44.4,28.55,38.35,Mion,9.64778,-0.25213,3,800,Grain filling,GPS coordinates were retaken
7015ALH,14/10/2021,1.02,0.817,0.965,1.05,33.4,21.75,40.05,33.5,37.6,Mion,9.64564,-0.25194,1,500,Tasseling/anthesis,
7016ALH,14/10/2021,0.907,0.649,0.961,0.554,40.55,35,35.65,38.3,37.05,Mion,9.64613,-0.25423,1.5,400,Tasseling/anthesis,
7018ALH,14/10/2021,0.926,1.62,0.54,0.57,34.55,34.6,44.9,42.85,40.1,Mion,9.64703,-0.25554,2,500,Tasseling/anthesis,GPS coordinates were retaken
7019ZOR,14/10/2021,1.7,0.952,2.95,1.2,19.7,27.75,44.85,36.3,41,Tamale,,,5,700,Grain filling,
1029ZIN,15/10/2021,1.5,1.19,1.39,1.51,33.6,26.8,47.1,41.15,47.75,Nanton,9.61647,-0.58331,16,1500,Physiological maturity,Field is almost ready for harvesting
7068ZIN,15/10/2021,2.64,2.11,3.08,1.73,28.8,29.85,22.6,22.35,18.6,Nanton,9.60037,-0.5661,2,1400,Grain filling,High  incidence of maize streak virus on the field
7069ZIN,15/10/2021,1.9,1.97,1.31,1.67,46.3,42.8,37.3,32.75,42.15,Nanton,9.60346,-0.56982,2,900,Grain filling,High  incidence of maize streak virus on the field
7070ZIN,15/10/2021,1.26,0.768,1.07,0.771,32.5,14.65,32.6,35.9,38.35,Nanton,9.60789,-0.56818,1.5,800,Grain filling,
7071ZIN,15/10/2021,1.28,1.67,0.95,1.29,49.85,34,39.15,36.3,35.6,Nanton,9.60638,-0.5674,1,600,Grain filling,
7072ZIN,15/10/2021,1.2,2.05,0.559,1.43,33.45,23.55,27.6,31.25,32.65,Nanton,9.60706,-0.56898,2,1000,Grain filling,High  incidence of maize streak virus on the field
7073ZIN,15/10/2021,0.637,1.59,1.2,1.17,26.15,228.3,30.25,31.45,23.4,Nanton,9.61538,-0.56813,1.5,800,Grain filling,
7074ZIN,15/10/2021,4.26,0.862,1.24,1.77,43.9,38.9,36.3,54.5,32.4,Nanton,9.61817,-0.56694,1.5,900,Silking,
1055ZIN,15/10/2021,1.02,1.57,1.08,1.36,28.55,18.05,27.3,34.1,38.15,Nanton,9.614985,-0.57245,10,1300,Grain filling,
7010SAM,18/10/2021,1.25,0.706,1.72,1.59,35,36.2,20.95,8,15.3,Gushegu,9.7953,-0.3978,5,600,Grain filling,
7020YAM,18/10/2021,0.805,2.35,0.938,1.73,20.65,34.05,22.2,46.05,39.15,Gushegu,9.72289,-0.51229,105,1000,Physiological maturty,Field is ready for harvesting
7021YAM,18/10/2021,1.34,1.56,0.996,2.01,38.25,54.15,48.25,48.75,45.3,Gushegu,9.70065,-0.54129,4,1500,Grain filling,
1061ZIN,18/10/2021,1.11,0.525,0.974,1.12,41.15,21.5,23.15,11.75,44.3,Gushegu,9.62704,-0.55416,2,700,Silking,
