FID,"Maize yield per quadrant
(Kg/Ha)","Maize yield per field/farm
(Kg/Ha)",Number of  plant in each quadrant(36m2),Average Number of  plant in each quadrant(36m2),Number of plants in 1m2 of a each quadrant,Average Number of plants in  1m2 of a quadrant,Number of cobs in 1m2 of a quadrant,Average Number of cobs in 1m2 of a quadrant,Total weight of 10 plants without cobss(undried weight) (kg) in each quadrant,Averae of total weight of 10 plants without cobss(undried weight) (kg),Total weight of 10 plants without cobss(dried weight) (kg) in each quadrant,Average of total weight of 10 plants without cobss(dried weight) (kg),Total biomass (kg) in each quadrant,Total biomass (kg)
5036TUGQ1,1891.3,,,,,,,,,,,,,
5036TUGQ2,598.5,,,,,,,,,,,,,
5036TUGQ3,1657.4,1382.4,,,,,,,,,,,,
5014LABQ1,584.5,,,,,,,,,,,,,
5014LABQ2,1044.0,,,,,,,,,,,,,
5014LABQ3,988.7,872.4,,,,,,,,,,,,
5016ZORQ1,1297.5,,,,,,,,,,,,,
5016ZORQ2,2023.4,,,,,,,,,,,,,
5016ZORQ3,3125.5,2148.8,,,,,,,,,,,,
7061CHEQ1,1178.1,,,,,,,,,,,,,
7061CHEQ2,1678.2,,,,,,,,,,,,,
7061CHEQ3,2598.0,1818.1,,,,,,,,,,,,
7072ZINQ1,995.9,,,,,,,,,,,,,
7072ZINQ2,1726.1,,,,,,,,,,,,,
7072ZINQ3,1105.3,1275.8,,,,,,,,,,,,
7070ZINQ1,921.3,,,,,,,,,,,,,
7070ZINQ2,1182.1,,,,,,,,,,,,,
7070ZINQ3,1528.3,1210.6,,,,,,,,,,,,
7074ZINQ1,1550.1,,,,,,,,,,,,,
7074ZINQ2,1116.6,,,,,,,,,,,,,
7074ZINQ3,448.4,1038.4,,,,,,,,,,,,
2050KPAQ1,1719.3,,,,,,,,,,,,,
2050KPAQ2,1109.5,,,,,,,,,,,,,
2050KPAQ3,1563.1,1464.0,,,,,,,,,,,,
5017ZORQ1,1847.8,,,,,,,,,,,,,
5017ZORQ2,1392.8,,,,,,,,,,,,,
5017ZORQ3,1372.4,1537.6,,,,,,,,,,,,
7071ZINQ1,1220.5,,,,,,,,,,,,,
7071ZINQ2,1516.1,,,,,,,,,,,,,
7071ZINQ3,1382.2,1372.9,,,,,,,,,,,,
7058CHEQ1,46.5,,,,,,,,,,,,,
7058CHEQ2,447.5,,,,,,,,,,,,,
7058CHEQ3,173.4,222.5,,,,,,,,,,,,
7059CHEQ1,685.8,,,,,,,,,,,,,
7059CHEQ2,1525.8,,,,,,,,,,,,,
7059CHEQ3,306.4,839.3,,,,,,,,,,,,
5002LABQ1,762.3,,,,,,,,,,,,,
5002LABQ2,475.4,,,,,,,,,,,,,
5002LABQ3,386.6,541.4,,,,,,,,,,,,
5011LABQ1,1529.0,,,,,,,,,,,,,
5011LABQ2,1404.0,,,,,,,,,,,,,
5011LABQ3,1430.4,1454.5,,,,,,,,,,,,
5012LABQ1,476.7,,,,,,,,,,,,,
5012LABQ2,1355.3,,,,,,,,,,,,,
5012LABQ3,949.0,927.0,,,,,,,,,,,,
7062CHEQ1,419.5,,,,,,,,,,,,,
7062CHEQ2,564.7,,,,,,,,,,,,,
7062CHEQ3,1032.7,672.3,,,,,,,,,,,,
1056ZINQ1,725.6,,,,,,,,,,,,,
1056ZINQ2,907.7,,,,,,,,,,,,,
1056ZINQ3,1523.9,1052.4,,,,,,,,,,,,
1055ZINQ1,1692.0,,,,,,,,,,,,,
1055ZINQ2,1111.4,,,,,,,,,,,,,
1055ZINQ3,1529.6,1444.3,,,,,,,,,,,,
7069ZINQ1,789.4,,,,,,,,,,,,,
7069ZINQ2,495.9,,,,,,,,,,,,,
7069ZINQ3,499.2,594.8,,,,,,,,,,,,
3074TAMQ1,357.5,,,,,,,,,,,,,
3074TAMQ2,926.8,,,,,,,,,,,,,
3074TAMQ3,35.2,439.8,,,,,,,,,,,,
7017SAMQ1,578.6,,,,,,,,,,,,,
7017SAMQ2,704.7,,,,,,,,,,,,,
7017SAMQ3,628.7,637.3,,,,,,,,,,,,
7010SAMQ1,1432.9,,,,,,,,,,,,,
7010SAMQ2,449.0,,,,,,,,,,,,,
7010SAMQ3,713.2,865.0,,,,,,,,,,,,
7014SAMQ1,1210.3,,,,,,,,,,,,,
7014SAMQ2,859.7,,,,,,,,,,,,,
7014SAMQ3,1480.0,1183.3,,,,,,,,,,,,
7015SAMQ1,1022.1,,,,,,,,,,,,,
7015SAMQ2,627.1,,,,,,,,,,,,,
7015SAMQ3,265.4,638.2,,,,,,,,,,,,
7016SAMQ1,1510.4,,,,,,,,,,,,,
7016SAMQ2,666.4,,,,,,,,,,,,,
7016SAMQ3,736.8,971.2,,,,,,,,,,,,
2053KPAQ1,968.4,,,,,,,,,,,,,
2053KPAQ2,1009.7,,,,,,,,,,,,,
2053KPAQ3,1001.7,993.3,,,,,,,,,,,,
7021YAMQ1,5036.8,,,,,,,,,,,,,
7021YAMQ2,4672.4,,,,,,,,,,,,,
7021YAMQ3,4033.5,4580.9,,,,,,,,,,,,
7069ZINQ1,1400.6,,,,,,,,,,,,,
7069ZINQ2,1154.4,,,,,,,,,,,,,
7069ZINQ3,2757.4,1770.8,,,,,,,,,,,,
7020YAMQ1,2982.6,,,,,,,,,,,,,
7020YAMQ2,2382.7,,,,,,,,,,,,,
7020YAMQ3,3013.9,2793.1,,,,,,,,,,,,
1067ZINQ1,691.4,,,,,,,,,,,,,
1067ZINQ2,622.0,,,,,,,,,,,,,
1067ZINQ3,735.7,683.0,,,,,,,,,,,,
1029ZINQ1,2490.8,,,,,,,,,,,,,
1029ZINQ2,1819.6,,,,,,,,,,,,,
1029ZINQ3,2614.8,2308.4,,,,,,,,,,,,
1061ZINQ1,1815.4,,,,,,,,,,,,,
1061ZINQ2,1135.8,,,,,,,,,,,,,
1061ZINQ3,2469.4,1806.9,,,,,,,,,,,,
4020FUUQ1,586.4,,,,,,,,,,,,,
4020FUUQ2,804.9,,,,,,,,,,,,,
4020FUUQ3,934.2,775.2,,,,,,,,,,,,
7022FUUQ1,989.0,,,,,,,,,,,,,
7022FUUQ2,1310.8,,,,,,,,,,,,,
7022FUUQ3,2040.8,1446.9,,,,,,,,,,,,
7035FUUQ1,1553.3,,,,,,,,,,,,,
7035FUUQ2,1562.9,,,,,,,,,,,,,
7035FUUQ3,934.2,1350.1,,,,,,,,,,,,
7036FUUQ1,1255.4,,,,,,,,,,,,,
7036FUUQ2,885.3,,,,,,,,,,,,,
7036FUUQ3,529.1,889.9,,,,,,,,,,,,
3075TAMQ1,1922.4,,,,,,,,,,,,,
3075TAMQ2,2244.3,,,,,,,,,,,,,
3075TAMQ3,1802.0,1989.6,,,,,,,,,,,,
5057PAGQ1,3444.2,,,,,,,,,,,,,
5057PAGQ2,3110.6,,,,,,,,,,,,,
5057PAGQ3,3182.2,3245.7,,,,,,,,,,,,
5037TUGQ1,2853.7,,,,,,,,,,,,,
5037TUGQ2,2343.5,,,,,,,,,,,,,
5037TUGQ3,2876.1,2691.1,,,,,,,,,,,,
5034TUGQ1,2916.8,,141.0,,4.0,,3.0,,,,0.5,,14.0,
5034TUGQ2,1733.9,,124.0,,4.0,,4.0,,,,0.5,,10.4,
5034TUGQ3,1185.9,1945.5,114.0,126.3,5.0,4.3,5.0,4.0,,0.0,0.5,0.5,10.6,11.7
5033TUGQ1,1390.6,,72.0,,3.0,,3.0,,,,1.2,,12.2,
5033TUGQ2,466.1,,65.0,,5.0,,4.0,,,,0.4,,5.0,
5033TUGQ3,1576.1,1144.2,57.0,64.7,4.0,4.0,4.0,3.7,,0.0,0.4,0.6,10.0,9.1
7033FUUQ1,335.9,,38.0,,4.0,,4.0,,0.7,,0.3,,1.1,
7033FUUQ2,134.6,,29.0,,3.0,,3.0,,0.6,,0.3,,0.9,
7033FUUQ3,101.7,190.7,31.0,32.7,4.0,3.7,4.0,3.7,0.3,0.5,0.2,0.2,1.2,1.0
7018ALHQ1,1020.4,,40.0,,4.0,,4.0,,0.6,,0.2,,9.9,
7018ALHQ2,671.5,,62.0,,3.0,,3.0,,1.7,,0.2,,11.7,
7018ALHQ3,223.8,638.5,48.0,50.0,5.0,4.0,5.0,4.0,0.4,0.9,0.2,0.2,10.1,10.6
7015ALHQ1,589.5,,78.0,,4.0,,4.0,,0.7,,0.3,,5.1,
7015ALHQ2,833.4,,94.0,,3.0,,2.0,,1.9,,0.3,,8.0,
7015ALHQ3,230.0,551.0,52.0,74.7,6.0,4.3,5.0,3.7,0.3,1.0,0.2,0.3,4.2,5.8
7016ALHQ1,699.9,,80.0,,4.0,,4.0,,0.8,,0.2,,7.9,
7016ALHQ2,883.9,,64.0,,4.0,,4.0,,2.1,,0.2,,10.3,
7016ALHQ3,470.3,684.7,56.0,66.7,4.0,4.0,4.0,4.0,0.3,1.1,0.2,0.2,5.4,7.9
7036SANQ1,3295.2,,138.0,,5.0,,4.0,,2.1,,0.3,,16.3,
7036SANQ2,3958.1,,170.0,,8.0,,7.0,,1.6,,0.4,,17.5,
7036SANQ3,3085.0,3446.1,133.0,147.0,8.0,7.0,5.0,5.3,0.9,1.5,0.4,0.4,14.7,16.2
7019ZORQ1,1855.8,,161.0,,5.0,,4.0,,1.5,,0.9,,15.5,
7019ZORQ2,2277.6,,130.0,,8.0,,7.0,,2.1,,0.2,,14.5,
7019ZORQ3,1171.4,1768.2,85.0,125.3,5.0,6.0,3.0,4.7,0.9,1.5,0.6,0.6,6.9,12.3
2002ALHQ1,2000.2,,131.0,,5.0,,5.0,,0.8,,0.4,,10.2,
2002ALHQ2,1447.3,,138.0,,4.0,,4.0,,2.0,,0.4,,9.9,
2002ALHQ3,1703.6,1717.0,140.0,136.3,5.0,4.7,5.0,4.7,1.1,1.3,0.4,0.4,10.0,10.0
